,Año,Actividad,Capital Federal,Gran Buenos Aires,Resto Bs As,Catamarca,Cordoba,Corrientes,Chaco,Chubut,Entre Rios,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquen,Rio Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucuman
3226,2021-04-01,Extracción de minerales metalíferos,"843,638","12,459","12,065",-,"1,367",352,"2,097","7,455",36,-,"2,982",-,-,"3,511",-,"9,998",767,"1,495","39,286",715,"3,833","1,392",-,-,"1,112"
3227,2021-04-01,Otros,"25,947,866","5,058,017","847,200","1,715","302,416","12,360","3,827","230,620","31,321","9,908","742,484","60,677",507,"555,319","16,315","1,947,135","10,325","58,462","134,074","46,933","106,845","395,266","30,364","6,636","96,546"
3228,2021-04-01,Industria manufacturera,"243,102,205","58,831,657","31,232,052","296,511","30,723,794","1,275,206","806,329","1,072,166","6,267,478","112,877","2,446,672","1,850,586","1,660,329","11,185,444","6,906,394","1,421,267","4,197,705","4,539,131","1,594,625","1,183,223","242,924","68,016,588","323,698","1,646,754","8,757,364"
3229,2021-04-01,Elaboración de productos alimenticios y bebidas,"106,440,029","15,681,524","14,615,877","154,807","12,069,294","824,756","194,458","215,322","4,569,299","19,967","990,184","1,167,093","1,234,317","8,653,792","5,082,249","271,068","3,623,473","2,384,020","947,181","13,927","115,501","45,819,071","156,469","33,011","6,227,186"
3230,2021-04-01,Prod. y proc. de carnes y vegetales (25),"69,065,497","8,663,340","7,378,254","151,671","5,864,735","57,684","33,105","147,334","4,037,634","5,562","603,350","894,948","907,722","2,538,226","1,988,911","35,377","3,074,790","1,734,401","755,409","4,852","92,415","34,427,369","92,621","6,057","4,184,230"
3231,2021-04-01,Elaboración de productos lácteos,"1,814,567","914,153","397,745",-,"2,198,511",3,"7,688","5,070","61,555","1,150",107,280,169,"12,580","9,456","2,218",388,"3,692","17,244","1,069",85,"8,118,437",653,194,"5,876"
3232,2021-04-01,Elaboración de productos de molinería (26),"3,776,462","3,443,176","5,569,189","1,419","949,408","92,935","76,360","19,168","314,332","1,485","7,041","239,947",344,"28,943","15,233","6,042","136,519","142,649","55,278",720,"11,005","1,489,338","1,677","6,300","13,705"
3233,2021-04-01,Elaboración de bebidas,"12,432,610","1,403,577","251,567","1,493","821,190","20,987","11,554","23,061","72,831","7,785","2,302","15,997","325,685","5,974,803","11,833","177,036","354,819","137,562","98,314","2,335","5,895","54,462","30,299","7,609","826,538"
3234,2021-04-01,Otros,"19,350,894","1,257,278","1,019,122",224,"2,235,448","653,147","65,751","20,689","82,947","3,985","377,384","15,921",397,"99,240","3,056,817","50,395","56,957","365,715","20,936","4,951","6,102","1,729,464","31,219","12,851","1,196,839"
3235,2021-04-01,Fabricación de productos textiles y de cuero,"19,909,570","5,477,818","1,610,340","13,394","573,128","67,409","58,100","231,445","108,654","6,133","5,516","13,383","319,447","262,678","31,383","11,104","18,744","16,473","91,825","18,598","1,519","1,839,634","58,279","120,125","23,550"
3236,2021-04-01,Productos textiles,"9,584,059","1,518,600","829,312","8,776","168,736","49,477","51,683","229,413","47,182",-,"2,098","9,759","1,128","58,053","3,874","4,920","11,804","4,731","34,746","5,155",710,"1,180,919","55,126","74,153","4,015"
3237,2021-04-01,Prendas de vestir (27),"3,873,432","1,263,087","661,448","4,289","334,565","5,378","5,009","1,791","56,529","2,876","1,877","2,921","1,772","191,202","25,469","6,115","6,682","6,249","53,782","13,327",585,"315,345","1,506","22,340","13,324"
3238,2021-04-01,Curtido y terminación de cueros (28),"6,452,078","2,696,130","119,580",330,"69,827","12,554","1,407",242,"4,943","3,257","1,540",702,"316,547","13,422","2,040",69,258,"5,493","3,297",117,224,"343,370","1,647","23,633","6,211"
3239,2021-04-01,Fabricación de sustancias y productos químicos,"41,051,529","11,724,124","4,967,609",802,"4,063,520","12,682","22,980","5,604","396,040","48,774","4,890","5,043",824,"215,041","46,028","84,084","12,649","435,870","114,191","844,717","7,055","3,720,551","1,383","256,565","115,636"
3240,2021-04-01,"Fabricación de maquinaria, equipos e instrumentos","11,849,262","5,033,480","2,034,938","7,790","7,320,858","27,104","82,698","70,810","131,288","10,907","4,221","298,842","66,218","658,131","46,519","179,403","173,621","47,075","40,515","81,514","38,521","4,855,628","33,700","552,504","129,884"
3241,2021-04-01,Fabricación de maquinaria y equipo,"10,920,893","4,615,490","1,808,899","7,598","6,541,043","26,393","78,614","38,326","107,118","10,907","3,033","298,326","35,579","605,573","45,873","177,903","154,873","46,820","39,551","31,073","30,643","4,632,014","30,806","549,895","127,862"
3242,2021-04-01,"Maq. de oficina, contabilidad e informática","1,289,465","552,828","117,542",515,"309,963",873,275,"3,000","8,935",144,314,"7,747",-,"5,644",913,"13,413",928,"1,713","1,699","1,725",83,"346,478","3,675","34,120","10,170"
3243,2021-04-01,"Radio, televisión y comunicaciones","1,357,628","386,600","4,457",905,"20,525","11,413",132,224,344,-,746,180,-,"1,878","7,379",216,58,376,106,"1,901",90,"130,996",-,"496,168",232
3244,2021-04-01,Maquinarias y aparatos eléctricos (29),"1,676,751","1,542,189","116,052",-,"1,679,095",916,"13,145","4,320","27,638",205,"1,376","2,132",-,"194,463",218,"84,919","5,977","28,902","5,524","20,651",29,"1,212,957",451,"8,593","28,025"
3245,2021-04-01,Otras maquinarias y equipos,"6,597,049","2,133,872","1,570,848","6,178","4,531,460","13,191","65,062","30,783","70,201","10,558",598,"288,267","35,579","403,587","37,363","79,354","147,910","15,829","32,223","6,795","30,440","2,941,583","26,680","11,015","89,434"
3246,2021-04-01,"Instrum. médicos, ópticos y de precisión (30)","928,369","417,989","226,040",192,"779,815",710,"4,085","32,483","24,170",-,"1,188",517,"30,639","52,559",646,"1,500","18,748",255,964,"50,440","7,878","223,614","2,894","2,609","2,022"
3247,2021-04-01,Fabricación de vehículos y equipo de transporte,"4,517,828","1,309,812","1,147,947","2,574","721,758",580,"31,563","30,430","374,297",-,18,"4,336","1,011","12,440","4,026","17,262","2,984",903,"9,839","46,730","21,991","2,860,034","2,009","18,433","10,538"
3248,2021-04-01,"Automotores, remolques y semirremolques","4,051,369","1,016,048","783,693","2,574","257,594",361,51,"5,073","319,173",-,10,"3,667",-,"2,101","1,762","5,164","2,238",526,"9,410","36,063","1,243","1,792,161","2,006","18,036","10,178"
3249,2021-04-01,Equipo de transporte,"466,460","293,764","364,253",-,"464,164",219,"31,511","25,357","55,124",-,8,669,"1,011","10,338","2,264","12,098",746,378,429,"10,667","20,748","1,067,873",3,397,361
3250,2021-04-01,Otros,"59,333,988","19,604,899","6,855,342","117,145","5,975,235","342,675","416,530","518,555","687,900","27,096","1,441,844","361,889","38,511","1,383,361","1,696,190","858,345","366,234","1,654,791","391,075","177,737","58,336","8,921,671","71,859","666,116","2,250,570"
